Epoch: [1][230/360]	Time 0.157 (0.156)	Data 0.014 (0.015)	Loss 5.8637 (35.5736)	Count-loss 0.1450 (2.2356)	
Epoch: [1][235/360]	Time 0.156 (0.156)	Data 0.016 (0.015)	Loss 15.3973 (35.0773)	Count-loss 0.4068 (2.1965)	
Epoch: [1][240/360]	Time 0.156 (0.156)	Data 0.016 (0.015)	Loss 9.5522 (34.6784)	Count-loss 0.3317 (2.1624)	
Epoch: [1][245/360]	Time 0.156 (0.156)	Data 0.015 (0.015)	Loss 6.2893 (34.4923)	Count-loss 0.2302 (2.1249)	
Epoch: [1][250/360]	Time 0.156 (0.156)	Data 0.015 (0.015)	Loss 64.6750 (34.2089)	Count-loss 0.0231 (2.1169)	
Epoch: [1][255/360]	Time 0.156 (0.156)	Data 0.015 (0.015)	Loss 27.2330 (33.7847)	Count-loss 0.1021 (2.0812)	
Epoch: [1][260/360]	Time 0.156 (0.156)	Data 0.016 (0.015)	Loss 23.7466 (36.1782)	Count-loss 1.4810 (2.0527)	
Epoch: [1][265/360]	Time 0.156 (0.156)	Data 0.015 (0.015)	Loss 26.1804 (36.8888)	Count-loss 1.3915 (2.0792)	
Epoch: [1][270/360]	Time 0.156 (0.156)	Data 0.016 (0.015)	Loss 10.0110 (39.2142)	Count-loss 9.3343 (2.0841)	
Epoch: [1][275/360]	Time 0.156 (0.156)	Data 0.014 (0.015)	Loss 8.8739 (39.1037)	Count-loss 0.0021 (2.0926)	
Epoch: [1][280/360]	Time 0.156 (0.156)	Data 0.015 (0.015)	Loss 26.2321 (38.9706)	Count-loss 0.6531 (2.2660)	
Epoch: [1][285/360]	Time 0.156 (0.156)	Data 0.015 (0.015)	Loss 25.5500 (38.7784)	Count-loss 0.9860 (2.2853)	
Epoch: [1][290/360]	Time 0.156 (0.156)	Data 0.015 (0.015)	Loss 14.5875 (38.8709)	Count-loss 6.2816 (2.9082)	
Epoch: [1][295/360]	Time 0.156 (0.156)	Data 0.015 (0.015)	Loss 33.8837 (39.2408)	Count-loss 0.0960 (2.8629)	
Epoch: [1][300/360]	Time 0.156 (0.156)	Data 0.015 (0.015)	Loss 41.3406 (39.3276)	Count-loss 0.0188 (2.8397)	
Epoch: [1][305/360]	Time 0.156 (0.156)	Data 0.016 (0.015)	Loss 10.4294 (38.8822)	Count-loss 1.3940 (2.7990)	
Epoch: [1][310/360]	Time 0.156 (0.156)	Data 0.016 (0.015)	Loss 17.5470 (38.9061)	Count-loss 0.0338 (2.7741)	
Epoch: [1][315/360]	Time 0.156 (0.156)	Data 0.019 (0.015)	Loss 16.4257 (38.6016)	Count-loss 0.0773 (2.7314)	
Epoch: [1][320/360]	Time 0.156 (0.156)	Data 0.014 (0.015)	Loss 4.8638 (38.1855)	Count-loss 0.1041 (2.6978)	
Epoch: [1][325/360]	Time 0.156 (0.156)	Data 0.016 (0.015)	Loss 97.7509 (38.0346)	Count-loss 0.0201 (2.6657)	
Epoch: [1][330/360]	Time 0.156 (0.156)	Data 0.019 (0.015)	Loss 9.0691 (37.6002)	Count-loss 0.6374 (2.6317)	
Epoch: [1][335/360]	Time 0.156 (0.156)	Data 0.015 (0.016)	Loss 62.2045 (37.3406)	Count-loss 0.0057 (2.5934)	
Epoch: [1][340/360]	Time 0.156 (0.156)	Data 0.015 (0.016)	Loss 22.0508 (37.2236)	Count-loss 0.3437 (2.5678)	
Epoch: [1][345/360]	Time 0.156 (0.156)	Data 0.015 (0.016)	Loss 22.2883 (37.0451)	Count-loss 0.0575 (2.5317)	
